"","Area","Perimeter","MajorAxisLength","MinorAxisLength","AspectRation","Eccentricity","ConvexArea","EquivDiameter","Extent","Solidity","roundness","Compactness","ShapeFactor1","ShapeFactor2","ShapeFactor3","ShapeFactor4"
"Area",1,0.897672929008636,0.68059746495481,0.885232045737993,-0.0419314477379884,-0.0192749174243638,0.868294996754407,0.907004213842256,0.17252332205284,0.027981044717154,0.269364755378512,0.00372730642662882,-0.852010314797179,-0.621318017204069,0.0226282842671035,-0.146614710422901
"Perimeter",0.897672929008636,1,0.746984584254309,0.964087484709984,-0.0364026980662395,-0.0149285379221466,0.942417091835585,0.990435221171535,0.160125019106751,0.0261677554773276,0.160194747246958,0.000931599490295547,-0.943649729498265,-0.693043306283955,0.0173922555704641,-0.156383665555651
"MajorAxisLength",0.68059746495481,0.746984584254309,1,0.696503899894369,0.146339983556991,0.156921565697568,0.714629381044936,0.753460630840044,0.147802950951121,0.0278559740239231,0.219329055148508,-0.08987424296676,-0.669362158624281,-0.643792528322803,-0.159679986026717,-0.193744102808635
"MinorAxisLength",0.885232045737993,0.964087484709984,0.696503899894369,1,-0.256183664400554,-0.232158143736392,0.932305973401452,0.976176955259592,0.201156552487822,0.0265422707830839,0.299681147476843,0.117678415603573,-0.983993798978665,-0.535954614501187,0.236969529237521,-0.0773152639661301
"AspectRation",-0.0419314477379884,-0.0364026980662395,0.146339983556991,-0.256183664400554,1,0.972863596358173,-0.0622574035163689,-0.0444849037959164,-0.0737021717171469,0.0248244687233979,-0.0482696616911474,-0.51264998939222,0.295038084004808,-0.657269222893355,-0.992337294152236,-0.404633630417399
"Eccentricity",-0.0192749174243638,-0.0149285379221466,0.156921565697568,-0.232158143736392,0.972863596358173,1,-0.0394883308142058,-0.0222031629146761,-0.0781004846048472,0.0274963404578306,-0.0380760219570551,-0.511873266395642,0.271723206370286,-0.677202274834152,-0.991810174415021,-0.380936437167388
"ConvexArea",0.868294996754407,0.942417091835585,0.714629381044936,0.932305973401452,-0.0622574035163689,-0.0394883308142058,1,0.950520042252097,0.17023486940667,0.0307355043460412,0.269886854828591,0.0165060191504013,-0.898752655334229,-0.640029942932382,0.0422623877338225,-0.155151992826726
"EquivDiameter",0.907004213842256,0.990435221171535,0.753460630840044,0.976176955259592,-0.0444849037959164,-0.0222031629146761,0.950520042252097,1,0.191502153661854,0.0343266478986632,0.293363459545067,0.00760066080666089,-0.952788065100471,-0.696638527210776,0.0246385243400076,-0.160138272716158
"Extent",0.17252332205284,0.160125019106751,0.147802950951121,0.201156552487822,-0.0737021717171469,-0.0781004846048472,0.17023486940667,0.191502153661854,1,0.0165461088127345,0.262293730796823,0.0341840282473297,-0.200612741667037,-0.0843063238568845,0.0744869952965964,0.0073664611467195
"Solidity",0.027981044717154,0.0261677554773276,0.0278559740239231,0.0265422707830839,0.0248244687233979,0.0274963404578306,0.0307355043460412,0.0343266478986632,0.0165461088127345,1,0.0639365891692736,-0.0152123529846754,-0.0267194925449343,-0.0408205521485335,-0.0238674368775049,0.0493150750604411
"roundness",0.269364755378512,0.160194747246958,0.219329055148508,0.299681147476843,-0.0482696616911474,-0.0380760219570551,0.269886854828591,0.293363459545067,0.262293730796823,0.0639365891692736,1,0.0388340953427658,-0.280602210524969,-0.194025683859465,0.0372254254806821,-0.0812496012016358
"Compactness",0.00372730642662882,0.000931599490295547,-0.08987424296676,0.117678415603573,-0.51264998939222,-0.511873266395642,0.0165060191504013,0.00760066080666089,0.0341840282473297,-0.0152123529846754,0.0388340953427658,1,-0.140408941657021,0.353170324015054,0.516459376898151,0.205850877038714
"ShapeFactor1",-0.852010314797179,-0.943649729498265,-0.669362158624281,-0.983993798978665,0.295038084004808,0.271723206370286,-0.898752655334229,-0.952788065100471,-0.200612741667037,-0.0267194925449343,-0.280602210524969,-0.140408941657021,1,0.507716316912856,-0.276985895895214,0.0457332185498014
"ShapeFactor2",-0.621318017204069,-0.693043306283955,-0.643792528322803,-0.535954614501187,-0.657269222893355,-0.677202274834152,-0.640029942932382,-0.696638527210776,-0.0843063238568845,-0.0408205521485335,-0.194025683859465,0.353170324015054,0.507716316912856,1,0.678956187998737,0.41455034241397
"ShapeFactor3",0.0226282842671035,0.0173922555704641,-0.159679986026717,0.236969529237521,-0.992337294152236,-0.991810174415021,0.0422623877338225,0.0246385243400076,0.0744869952965964,-0.0238674368775049,0.0372254254806821,0.516459376898151,-0.276985895895214,0.678956187998737,1,0.435553343470911
"ShapeFactor4",-0.146614710422901,-0.156383665555651,-0.193744102808635,-0.0773152639661301,-0.404633630417399,-0.380936437167388,-0.155151992826726,-0.160138272716158,0.0073664611467195,0.0493150750604411,-0.0812496012016358,0.205850877038714,0.0457332185498014,0.41455034241397,0.435553343470911,1
