"column","lower_fence","upper_fence","outlier_values","logical_boundary_violations"
"Area",41468.5,112184.5,574,0
"Perimeter",820.8705,1335.6985,539,0
"MajorAxisLength",277.398425232199,531.192311351068,507,0
"MinorAxisLength",184.175823167997,303.792511770037,532,0
"AspectRation",1.24458575475524,2.04251509448696,17,0
"Eccentricity",0.676420595834056,0.904688344679258,117,0
"ConvexArea",43393.5,111725.5,545,64
"EquivDiameter",242.367484744729,380.067613530641,544,0
"Extent",0.630895033766429,0.887451044510066,2,0
"Solidity",0.970878933839519,0.999061253973963,80,12
"roundness",0.735641363928618,0.935104713907857,131,0
"Compactness",0.680315844327654,0.876459421351547,50,11
"ShapeFactor1",0.00397143849550402,0.0065813556552563,542,0
"ShapeFactor2",0.000542194383044,0.0018039702407824,50,0
"ShapeFactor3",0.453716059471219,0.759247775273086,51,0
"ShapeFactor4",0.981278417070821,1.00524499721601,78,0
